0,10
10,10
20,10
30,10
40,10
50,10
60,10
70,10
80,10
90,10
100,10
110,10
120,10
130,10
140,10
150,10
160,10
170,10
180,10
190,10
200,10
210,10
220,10
230,10
240,10
250,10
260,10
270,10
280,10
290,10
300,10
310,10
320,10
330,10
340,10
350,10
360,10
370,10
380,10
390,10
400,10
410,10
420,10
430,10
440,10
450,10
460,10
470,10
480,10
490,10
500,10
510,10
520,10
530,10
540,10
550,10
560,10
570,10
580,10
590,10
600,10
610,10
620,10
630,10
640,10
650,10
660,10
670,10
680,10
690,10
700,10
710,10
720,10
730,10
740,10
750,10
760,10
770,10
780,10
790,10
800,10
810,10
820,10
830,10
840,10
850,10
860,10
870,10
880,10
890,10
900,10
910,10
920,10
930,10
940,10
950,10
960,10
970,10
980,10
